datetime,values
2025-05-15T03:20:00Z+0000,61.2
2025-05-15T03:30:00Z+0000,61.8
2025-05-15T03:40:00Z+0000,59.8
2025-05-15T03:50:00Z+0000,57.8
2025-05-15T04:00:00Z+0000,59.2
2025-05-15T04:10:00Z+0000,57.9
2025-05-15T04:20:00Z+0000,50.1
2025-05-15T04:30:00Z+0000,52.5
2025-05-15T04:40:00Z+0000,50.8
2025-05-15T04:50:00Z+0000,49.0
2025-05-15T05:00:00Z+0000,44.9
2025-05-15T05:10:00Z+0000,42.9
2025-05-15T05:20:00Z+0000,40.0
2025-05-15T05:30:00Z+0000,42.1
2025-05-15T05:40:00Z+0000,40.1
2025-05-15T05:50:00Z+0000,42.7
2025-05-15T06:00:00Z+0000,42.0
2025-05-15T06:10:00Z+0000,43.0
2025-05-15T06:20:00Z+0000,43.2
2025-05-15T06:30:00Z+0000,40.8
2025-05-15T06:40:00Z+0000,36.8
2025-05-15T06:50:00Z+0000,34.1
2025-05-15T07:00:00Z+0000,37.9
2025-05-15T07:10:00Z+0000,37.3
2025-05-15T07:20:00Z+0000,38.1
2025-05-15T07:30:00Z+0000,37.0
2025-05-15T07:40:00Z+0000,36.1
2025-05-15T07:50:00Z+0000,36.1
2025-05-15T08:00:00Z+0000,36.7
2025-05-15T08:10:00Z+0000,35.6
2025-05-15T08:20:00Z+0000,36.5
2025-05-15T08:30:00Z+0000,36.1
2025-05-15T08:40:00Z+0000,38.0
2025-05-15T08:50:00Z+0000,35.3
2025-05-15T09:00:00Z+0000,36.7
2025-05-15T09:10:00Z+0000,38.4
2025-05-15T09:20:00Z+0000,41.4
2025-05-15T09:30:00Z+0000,35.4
